ACTIVIDAD ECONOMICA Y PRODUCTO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020(p),Enero a Agosto 2021(p)
TOTAL,"773,8","808,9","1124,2","1181,2","1295,3","1272,1","1324,7","1405,4",1475,"1352,9","1374,9","1676,6","2265,2","2948,1","4231,9","4889,7",7058,"5486,4","7052,1","9215,3","11991,1","12371,6","13034,2","8923,1","7258,7","8367,1","9110,4","8933,3","7032,8","7033,8"
EXPORTACIONES,"741,1","785,8","1089,8","1137,6","1214,5","1253,9","1108,1","1042,2","1246,3","1226,2","1319,9","1589,8","2194,6","2867,4","4088,3","4821,8","6932,9","5399,6","6966,1","9145,8","11814,6","12251,7","12899,1","8737,1","7126,3","8223,1","9014,7","8804,9","6915,3","6968,5"
"AGRICULTURA, GANADERIA, CAZA SILVICULTURA Y PESCA","47,4","52,8","106,4","123,5","155,5",176,"123,6","122,8","112,5","53,5","61,2","94,2","131,6","171,6","159,5","188,5","274,4","288,4","280,1",344,"529,6",745,"626,3","477,5","445,9","383,6","434,2","364,6","366,8",276
Castana,"11,2","15,2","15,8","18,7","28,6","31,1","30,9","30,9","34,1","27,7","27,4","37,9","53,4",75,"70,2","76,9",88,"72,8","103,7","148,4","145,6","129,5","175,1",192,"182,7","171,4","221,2",156,"126,5","111,6"
Semillas y Habas de Soya,"15,8","18,2","43,2","46,7","64,8","61,6","47,3","40,1","46,5","1,6","5,8","25,5","23,2","33,4","15,2","17,3","39,7",51,"19,4","15,4","157,9","268,3","89,8","3,3",32,"5,6","3,3","4,6","7,8","25,7"
Quinua,"0,6","0,7","1,4","1,6","1,9","2,2","1,9","2,7","1,8","2,4","2,3","3,1","4,4","5,6","8,9","13,1",23,"43,2","46,6","63,4","79,9","153,3","196,6","107,7","81,4","74,5",81,"90,7","92,4","40,7"
Frijoles,,,,"2,1","2,3","8,7","4,6","7,8","3,8",6,"7,1","5,9","8,1","9,3","9,9","20,7","42,3","34,3","35,4","27,5","40,1","41,1","24,8","18,8","34,2","13,2","13,9","14,1","17,4",9
Bananas,"0,1",0,"0,1","0,2","0,4","0,3","0,3","0,9","1,1","1,7","2,2","3,8","5,8","7,4","10,1","10,1","12,1","13,6","14,2","22,4","24,9","30,2","35,7","38,5","36,5","39,2","33,4","29,9","36,2",22
Cafe sin Tostar,"6,3","3,7",15,"16,7","16,5",26,15,"13,8","10,3","5,8","6,2","6,3","9,3","11,3","13,9","14,4",15,"15,4","15,3","26,2","18,6","15,5","16,6","10,2","7,7",10,"9,4","8,5","8,6","5,1"
Chia,,,,,,,,,,,,,,,,"0,5","2,3","1,2","2,4","3,4","5,6","51,4","39,6","44,9","26,8","27,2","28,2",19,"22,1","13,5"
